fat,rating,count
0,1,4
0,2,17
0,3,8
0,4,16
0,5,5
0,6,6
0,7,4
0,8,2
0,9,1
0.04,1,1
0.04,2,1
0.04,3,5
0.04,4,6
0.04,5,7
0.04,6,9
0.04,7,21
0.04,8,12
0.04,9,0
0.08,1,0
0.08,2,2
0.08,3,2
0.08,4,2
0.08,5,4
0.08,6,13
0.08,7,16
0.08,8,21
0.08,9,3
0.12,1,1
0.12,2,1
0.12,3,1
0.12,4,3
0.12,5,4
0.12,6,11
0.12,7,15
0.12,8,23
0.12,9,4
0.16,1,0
0.16,2,3
0.16,3,2
0.16,4,6
0.16,5,3
0.16,6,7
0.16,7,17
0.16,8,17
0.16,9,5
0.2,1,0
0.2,2,1
0.2,3,3
0.2,4,8
0.2,5,4
0.2,6,13
0.2,7,14
0.2,8,11
0.2,9,8
0.24,1,1
0.24,2,5
0.24,3,4
0.24,4,14
0.24,5,2
0.24,6,13
0.24,7,13
0.24,8,7
0.24,9,2
0.28,1,4
0.28,2,6
0.28,3,9
0.28,4,11
0.28,5,5
0.28,6,9
0.28,7,7
0.28,8,8
0.28,9,3
