Social,Smoke,HT,PU,Count
1,1,y,y,28
2,1,y,y,50
3,1,y,y,278
4,1,y,y,63
5,1,y,y,20
1,1,y,n,82
2,1,y,n,266
3,1,y,n,1101
4,1,y,n,213
5,1,y,n,78
1,1,n,y,21
2,1,n,y,34
3,1,n,y,164
4,1,n,y,52
5,1,n,y,23
1,1,n,n,286
2,1,n,n,785
3,1,n,n,3160
4,1,n,n,656
5,1,n,n,245
1,2,y,y,5
2,2,y,y,13
3,2,y,y,120
4,2,y,y,35
5,2,y,y,22
1,2,y,n,24
2,2,y,n,92
3,2,y,n,492
4,2,y,n,129
5,2,y,n,74
1,2,n,y,5
2,2,n,y,17
3,2,n,y,142
4,2,n,y,46
5,2,n,y,34
1,2,n,n,71
2,2,n,n,284
3,2,n,n,2300
4,2,n,n,649
5,2,n,n,321
1,3,y,y,1
2,3,y,y,0
3,3,y,y,16
4,3,y,y,7
5,3,y,y,7
1,3,y,n,3
2,3,y,n,15
3,3,y,n,92
4,3,y,n,40
5,3,y,n,14
1,3,n,y,0
2,3,n,y,3
3,3,n,y,32
4,3,n,y,12
5,3,n,y,4
1,3,n,n,13
2,3,n,n,34
3,3,n,n,383
4,3,n,n,163
5,3,n,n,65
